surveyId,fold,country,spatial_block,matched_v29_f1,v30_f1,delta_f1,true_cardinality,predicted_cardinality
1918461,0,France,+046:+000,0.7272727272727273,0.6153846153846154,-0.11188811188811187,9,17
1918481,0,Denmark,+055:+009,0.46808510638297873,0.5416666666666666,0.0735815602836879,27,21
1918545,0,Denmark,+055:+009,0.5753424657534246,0.5633802816901409,-0.011962184063283754,45,26
1918682,0,Denmark,+055:+009,0.15789473684210525,0.16666666666666666,0.008771929824561403,14,22
1918771,0,Netherlands,+051:+004,0.15789473684210525,0.1951219512195122,0.03722721437740695,21,20
1918870,0,Italy,+046:+010,0.24489795918367346,0.2553191489361702,0.010421189752496729,21,26
1918922,0,France,+043:+007,0.4666666666666667,0.5079365079365079,0.041269841269841234,36,27
1919546,0,France,+047:+004,0.48484848484848486,0.5142857142857142,0.029437229437229373,15,20
1919930,0,Denmark,+056:+010,0.5384615384615384,0.5660377358490566,0.027576197387518153,30,23
1920006,0,Netherlands,+051:+004,0.2222222222222222,0.19047619047619047,-0.031746031746031744,9,12
1920166,0,Denmark,+055:+009,0.1935483870967742,0.3225806451612903,0.12903225806451613,10,21
1920261,0,Denmark,+055:+009,0.5217391304347826,0.6153846153846154,0.09364548494983282,10,16
1920573,0,Denmark,+057:+011,0.3333333333333333,0.3076923076923077,-0.025641025641025605,9,17
1920843,0,Denmark,+055:+009,0.2857142857142857,0.29411764705882354,0.00840336134453784,12,22
1920993,0,Italy,+038:+012,0.2857142857142857,0.3076923076923077,0.02197802197802201,22,17
1921329,0,Denmark,+057:+011,0.1935483870967742,0.21428571428571427,0.020737327188940086,7,21
1922315,0,Netherlands,+051:+004,0.46153846153846156,0.4,-0.06153846153846154,9,21
1922687,0,Belgium,+051:+004,0.0,0.0,0.0,2,17
1922972,0,Belgium,+051:+004,0.38095238095238093,0.3902439024390244,0.009291521486643473,25,16
1923149,0,Denmark,+055:+009,0.2,0.21052631578947367,0.010526315789473661,4,15
1923229,0,Denmark,+055:+009,0.3333333333333333,0.3076923076923077,-0.025641025641025605,10,16
1923641,0,Denmark,+055:+009,0.24,0.16666666666666666,-0.07333333333333333,5,19
1923990,0,Denmark,+055:+009,0.2962962962962963,0.26666666666666666,-0.029629629629629617,11,19
1924634,0,Switzerland,+046:+010,0.5573770491803278,0.5357142857142857,-0.021662763466042123,29,27
1924954,0,Denmark,+055:+009,0.2,0.30303030303030304,0.10303030303030303,17,16
1925000,0,Denmark,+056:+010,0.7,0.7619047619047619,0.06190476190476191,9,12
1925145,0,Denmark,+055:+009,0.47619047619047616,0.43478260869565216,-0.041407867494824,10,13
