surveyId,country,spatial_block,matched_v27_f1,v29_f1,delta_f1,true_cardinality,predicted_cardinality
380245,Denmark,+055:+009,0.4,0.2962962962962963,-0.10370370370370374,8,19
381041,Denmark,+055:+009,0.19047619047619047,0.11764705882352941,-0.07282913165266106,4,13
382389,Denmark,+055:+009,0.45,0.5142857142857142,0.06428571428571422,15,20
386649,Denmark,+055:+009,0.5714285714285714,0.4583333333333333,-0.11309523809523808,31,17
386988,Denmark,+055:+009,0.4230769230769231,0.375,-0.04807692307692307,29,19
389169,Denmark,+055:+009,0.3333333333333333,0.30303030303030304,-0.030303030303030276,18,15
389362,Denmark,+054:+009,0.3888888888888889,0.3902439024390244,0.0013550135501355087,18,23
389812,France,+044:+006,0.15789473684210525,0.12244897959183673,-0.03544575725026852,15,34
391249,Denmark,+055:+009,0.43243243243243246,0.5294117647058824,0.0969793322734499,21,13
393942,France,+044:-001,0.64,0.8,0.16000000000000003,10,10
395510,Germany,+054:+009,0.2727272727272727,0.5333333333333333,0.2606060606060606,4,11
395831,Denmark,+055:+009,0.2,0.1935483870967742,-0.006451612903225823,6,25
395975,Denmark,+055:+009,0.4,0.25806451612903225,-0.14193548387096777,9,22
396754,Denmark,+055:+009,0.3157894736842105,0.3333333333333333,0.017543859649122806,23,13
397776,Denmark,+055:+009,0.45714285714285713,0.4444444444444444,-0.012698412698412709,14,22
400234,Denmark,+055:+009,0.46153846153846156,0.5454545454545454,0.08391608391608385,14,19
405853,Denmark,+055:+009,0.29411764705882354,0.5806451612903226,0.2865275142314991,18,13
407698,France,+043:+007,0.17391304347826086,0.16,-0.013913043478260861,48,27
408053,Denmark,+055:+009,0.5365853658536586,0.3888888888888889,-0.14769647696476967,18,18
409492,Denmark,+055:+009,0.2,0.21621621621621623,0.016216216216216217,17,20
410493,Denmark,+055:+009,0.17142857142857143,0.3125,0.14107142857142857,11,21
411466,Denmark,+054:+009,0.4827586206896552,0.3333333333333333,-0.14942528735632188,10,20
411907,France,+046:+006,0.46511627906976744,0.5625,0.09738372093023256,56,40
414490,Denmark,+054:+009,0.6086956521739131,0.6086956521739131,0.0,8,15
417597,France,+043:+007,0.10810810810810811,0.15384615384615385,0.04573804573804574,14,25
418199,Denmark,+055:+009,0.22857142857142856,0.2564102564102564,0.027838827838827823,13,26
421773,Denmark,+055:+009,0.36363636363636365,0.3870967741935484,0.02346041055718473,10,21
422391,Denmark,+055:+009,0.15384615384615385,0.08333333333333333,-0.07051282051282053,11,13
423281,Denmark,+055:+009,0.5833333333333334,0.5416666666666666,-0.04166666666666674,23,25
424104,Denmark,+055:+009,0.07692307692307693,0.22857142857142856,0.15164835164835164,8,27
424403,Denmark,+055:+009,0.30303030303030304,0.2857142857142857,-0.01731601731601734,14,21
425866,Denmark,+055:+009,0.3783783783783784,0.4,0.021621621621621623,14,21
426813,Denmark,+055:+009,0.4827586206896552,0.5454545454545454,0.06269592476489022,10,12
428382,France,+044:-001,0.4,0.5384615384615384,0.1384615384615384,9,17
430736,Denmark,+054:+009,0.2857142857142857,0.4444444444444444,0.15873015873015872,6,12
432642,Denmark,+055:+009,0.5,0.5789473684210527,0.07894736842105265,18,20
433507,France,+044:-001,0.5,0.6666666666666666,0.16666666666666663,7,11
433550,France,+043:+007,0.18867924528301888,0.23076923076923078,0.0420899854862119,33,19
435524,Denmark,+055:+009,0.4,0.45714285714285713,0.057142857142857106,12,23
437152,France,+044:-001,0.4444444444444444,0.5833333333333334,0.13888888888888895,9,15
437166,Denmark,+054:+009,0.25,0.18181818181818182,-0.06818181818181818,18,26
439413,France,+044:+000,0.45,0.5116279069767442,0.061627906976744196,16,27
441226,Denmark,+055:+009,0.5,0.47368421052631576,-0.026315789473684237,20,18
443019,Denmark,+055:+009,0.4827586206896552,0.5217391304347826,0.0389805097451274,14,9
443687,France,+044:-001,0.5,0.5882352941176471,0.08823529411764708,5,12
445348,Denmark,+055:+009,0.22857142857142856,0.3333333333333333,0.10476190476190475,16,20
449034,Denmark,+054:+009,0.4117647058823529,0.4444444444444444,0.0326797385620915,14,13
450994,Denmark,+055:+009,0.4,0.3870967741935484,-0.012903225806451646,7,24
451197,Denmark,+055:+009,0.34285714285714286,0.1875,-0.15535714285714286,11,21
455802,France,+044:-001,0.56,0.8,0.24,9,11
456493,Denmark,+055:+009,0.5714285714285714,0.5238095238095238,-0.04761904761904756,20,22
456741,Denmark,+055:+009,0.5,0.47058823529411764,-0.02941176470588236,14,20
456832,Denmark,+054:+009,0.4,0.45161290322580644,0.05161290322580642,14,17
463710,Italy,+042:+015,0.08333333333333333,0.07692307692307693,-0.006410256410256401,3,23
466426,Denmark,+054:+009,0.25,0.3333333333333333,0.08333333333333331,9,15
466777,Denmark,+055:+009,0.19047619047619047,0.18604651162790697,-0.0044296788482834915,18,25
466958,Denmark,+055:+009,0.46153846153846156,0.5217391304347826,0.06020066889632103,9,14
469395,Denmark,+055:+009,0.5384615384615384,0.46153846153846156,-0.07692307692307687,8,18
471263,Denmark,+055:+009,0.06060606060606061,0.1875,0.1268939393939394,8,24
471755,Denmark,+055:+009,0.34782608695652173,0.2608695652173913,-0.08695652173913043,5,18
472008,Denmark,+055:+009,0.2857142857142857,0.27586206896551724,-0.009852216748768461,10,19
472337,Denmark,+054:+009,0.2962962962962963,0.56,0.2637037037037038,10,15
479182,Italy,+042:+015,0.0,0.0,0.0,2,16
479452,Denmark,+055:+009,0.375,0.4375,0.0625,9,23
480095,Denmark,+054:+009,0.35714285714285715,0.6363636363636364,0.2792207792207792,11,11
480332,Denmark,+054:+009,0.24,0.24,0.0,6,19
